Comment,baseline_result,nlp_result,sasd
//$NON-NLS-1$,False,False,False
// This swaps the direction of m3:,False,False,False
//cannot occur,False,False,False
/*3300..33FF;*/,False,False,False
"// If-test is false, need to re-initialize indexes",False,False,False
//{{{ getIdealIndentForLine() method,False,False,False
"// about to delete last thing in field, so replace with null",False,False,False
// Extract the icon that is used by the tree control // for the current look and feel,False,False,False
// just as if Enter was pressed in another // text field,False,False,False
// i18n[UpdatePreferencesPanel.channel=Channel:],False,False,False
// i18n[AbstractRefactoringDialog.showButtonLabel=Show SQL],False,False,False
/*      * @see javax.swing.plaf.metal.MetalTheme#getControlTextFont()      */,False,False,False
"// opt but no rest, must be at least required and no more than required + opt",False,False,False
//boolean iri = false;,False,False,False
//}}},False,False,False
// prefer re-generation of identity!,False,True,False
//{{{ getMinimumSize() method,False,False,False
// set the local folder.,False,False,False
// i18n[SQLFilterSheet.closeButtonLabel=Close],False,False,False
// --,False,False,False
// i18n[oracle.displaysSequenceDetails=Display sequence details],False,False,False
// Empty.,False,True,False
//		case SESSION_BEAN_GRANT_AND_REVOKE: //            return FirebirdManagerGrantPreferenceBean.class.getClassLoader();,True,True,False
// Register tabs to display in the details panel for table nodes.,False,False,False
"// save various info about the column for use in user input validation // when editing table contents. // Note that the columnDisplaySize is included two times, where the // first // entry may be adjusted for actual display while the second entry is // the // size expected by the DB. // The isNullable() method returns three values that we convert into // two // by saying that if it is not known whether or not a column allows // nulls, // we will allow the user to enter nulls and any problems will be // caught // when they try to save the data to the DB",False,False,False
"// duplicate equal to add, so we continue",False,False,False
"// Check method, path and query sent",False,False,False
//{{{ processKeyEvent() method,False,False,False
//OK // TODO ??,False,False,False
//{{{ ParserRuleSet constructor,False,False,False
//}}},False,False,False
/* (non-Javadoc)      * @see net.sourceforge.squirrel_sql.fw.sql.ISQLDatabaseMetaData#supportsSchemasInDataManipulation()      */,False,False,False
// Ignore.,False,False,False
// this happens if ant is used with a project // helper that doesn't set the import.,False,True,False
// just push nil for pragmas,False,False,False
"// Link does not exist in UML2, a link is represented just as an // association",False,False,False
/* 			Lots of preconditions checked here... 			Once things are running smoothly we might comment these out 			(That's what assertions are for). 		*/,False,True,False
// special handling of operations while editing this data type,False,False,False
// getFoo      => foo // getFoo(int) => foo(int),False,False,False
"// Since this timer must be started when SQuirreL is launched, wait a couple of minutes for // SQuirreL to get done initializing the UI.",False,False,False
// We should not have a query string part,False,True,False
/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */,False,False,False
// records the existance of an equal sign,False,True,False
//{{{ subregionOffsetToX() method,False,False,False
// suppresses compiler warning,False,False,False
//{{{ Instance variables,False,False,False
//}}},False,False,False
/*      * @see TargetListener#targetSet(TargetEvent)      */,False,False,False
// @see TestRegexFunction for unit tests,False,False,False
//}}} //}}},False,False,False
//}}} //}}},False,False,False
// builder.setDefaultButtonBarGapBorder();,False,False,False
//}}},False,False,False
// keepgenerated,False,False,False
// never called,False,True,False
// pass command to scheduler,False,False,False
// Add the type to the list of returned sqlResultTypes.,False,False,False
// If the type also specifies a classifier... //,False,False,False
// i18n[mssql.scriptUsers=Script database users and database roles],False,False,False
// value is a List of Strings,False,False,False
"// before any callbacks, etc, so subdeletions see that this deletion happened first",False,False,False
"/*              * The next one defaults to TRUE, to stay compatible with older              * ArgoUML versions that did not have this setting:              */",False,False,False
// find and add all subdirectories,False,False,False
/*      * Just returns false.      *      * @see org.argouml.cognitive.Poster#canFixIt(org.argouml.cognitive.ToDoItem)      */,False,False,False
/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */,False,False,False
"//      add message ""0.eml"" as inputstream to folder",False,False,False
// Add menu.,False,False,False
//}}},False,False,False
/*      * @see org.argouml.uml.ui.UMLExpressionModel2#getExpression()      */,False,False,False
// Allow for old format file without mechanism support,False,False,False
// classic translator does not support collection of ordinal // param metadata,False,False,False
//{{{ InstallButton class,False,False,False
// line 636,False,False,False
/*      * Create a data input text field      *      * @return the panel for entering the data      */,False,False,False
// Cast input appropriately or throw exception,False,True,False
// register for status events,False,False,False
//remove the .class,False,False,False
// tooltip text,False,False,False
// do nothing...this is just a hook for subclasses,False,False,False
"// If there are delegated features, add only those that aren't already in this package to the end of the list. //",False,False,False
/*                  * Increment the symbol frequencies for the selected table.                  */,False,False,False
// the constraint _must_ be owned by a namespace,False,True,False
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write,False,True,False
// Get previous state in stack. //,False,False,False
//this.forceCacheRefresh = forceCacheRefresh;,False,False,False
// NT Includes other types of Credentials,False,False,False
// test null source,False,False,False
// create composer model,False,False,False
// $NON-NLS-1$ // $NON-NLS-1$,False,False,False
/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#isValidElement(Object)      */,False,False,False
// wrap read() methods to track output buffer,False,True,False
// Prepare the Results tabbed pane,False,False,False
//}}},False,False,False
//to stop the class from being unloaded,False,False,False
//The source was one of the referenced state's path which // has got a new name.,False,False,False
"// a file, not in the root // since the jar may be one without directory // entries, add the parent dir of this file as // well.",False,False,False
//{{{ peekElement() method,False,False,False
/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */,False,False,False
"/*      * @see org.argouml.uml.cognitive.critics.CrUML#predicate2(      *      java.lang.Object, org.argouml.cognitive.Designer)      */",False,False,False
//{{{ Folding,False,False,False
"/*                  * Complete the big bucket [ss] by quicksorting                  * any unsorted small buckets [ss, j].  Hopefully                  * previous pointer-scanning phases have already                  * completed many of the small buckets [ss, j], so                  * we don't have to sort them at all.                  */",False,True,False
// Fill 3 of value (byte) -19,False,True,False
// we have the whole contents of the CLOB,False,False,False
// Column,False,False,False
//inject the data,False,True,False
// Block and block pass passed in at same time....uh oh,False,False,False
// try to set selection,False,False,False
//{{{ sort() method,False,True,False
//TestCase/implementedGenOperation.override.javajetinc,False,False,False
// state ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,False,False,False
// $NON-NLS-1$ // $NON-NLS-1$,False,False,False
"// A ""location"" attribute for a node within a // Path object.",False,False,False
// add duplicates as per bug,False,False,False
"// If we have resolved to an EClass but we have an EAttribute, we can change it to be an EReference. //",False,False,False
// i18n[HQLPanelController.hqlToSqlSuccess=Generated {0} SQL(s) in {1} milliseconds.],False,False,False
// expect the worst,False,False,False
/*      * @see java.lang.Runnable#run()      */,False,False,False
// OK // $NON-NLS-1$,False,False,False
//}}},False,False,False
// mark it as selected,False,True,False
// i18n[DataSetUpdateableTableModelImpl.error.unknownerror=Unknown error during check on DB.  Update is probably not safe.\nDo you wish to proceed?],False,True,False
/*  ================      *  Instance Methods      *  ================       */,False,False,False
/* add the UDTs. */,False,False,False
// TODO move to new standard location and rewrite test to be less static,False,True,False
// Or a feature map child? //,False,False,False
//i18n[DropTableDialog.schemaLabel=Schema:],False,True,False
//private Type[] sqlResultTypes;,False,False,False
// args is either constructor arguments or array dimensions,False,False,False
//$NON-NLS-1$,False,False,False
"// do nothing. it's naive, but since // the utility is meant to parse access // logs the formatting should be correct",False,False,False
// Check if Columba is the default mail client,False,False,False
/* update fold visibility map. */,False,False,False
// Match against every other operation but this one. //,False,False,False
// Create classes and their features,False,False,False
// it doesn't handle special cases,False,True,False
// find optimum height and map to range,False,False,False
// line 1103,False,False,False
// i18n[FactoryProviderController.fileCreated=File {0} has been successfully created.],False,False,False
// repaint table header,False,False,False
//{{{ getScreenLineEndOffset() method,False,False,False
//$NON-NLS-1$,False,False,False
//EcoreValidator,False,False,False
/*          * wait for stream threads to die          *           */,False,False,False
//}}},False,False,False
"// Attempt to parse authority. If the section is an empty string // this is a valid server based authority, so set the host to this // value.",True,True,False
// draw average - SPECIAL AIMS REQUIREMENT,False,False,False
// Continue with the established base URL.,False,False,False
////////////////////////////////////////////////////////////////////////// // test inc methods //////////////////////////////////////////////////////////////////////////,False,False,False
// aload_1 // load bean,False,False,False
//}}},False,False,False
//}}},False,True,False
// If this isn't instanceof org.hibernate.type.CollectionType a NoSuchMethodException will be thrown,False,True,False
"//Font font = UIManager.getFont(""Label.font"");",False,False,False
"// field is not nullable or input was not a delete // // we have already handled all legal input, // so just tell user this is being ignored",False,True,False
// draw path,False,False,False
"// this will result in a slight speed up, since we // don't need to read the DTD anyway, as AElfred is // non-validating",False,True,False
// Begin second unit of work,False,False,False
// composer can either edit in html or plain text mode // listen for configuration changes,False,False,False
// end class,False,False,False
/* Implements JMeterGUIComponent.createTestElement() */,False,False,False
// ITEM_LABELS_VISIBLE,False,False,False
// end foreach map entry // end else,False,False,False
"// We do not use getEncoding method of Writer, since that returns // the historical name",False,False,False
// Is there a supplied proc argument or do we assume a block was // supplied,False,False,False
"// hide grid, otherwise can't see anything",False,False,False
// argument checking delegated...,False,False,False
// Fill 2 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33,False,True,False
// Gone from UML 2.x //        throw new NotImplementedException();,False,False,False
// NOI18N,False,False,False
"/* At this stage during loading, the diagrams are          * not created yet - so we have to store this name for later use. */",False,False,False
//}}},False,False,False
"// if there was a problem with converting, then just fall through // and continue as if there was no default given in the DB. // Otherwise, use the converted object",False,True,False
//{{{ xToOffset() method,False,False,False
// line 1254,False,False,False
// If this is 'elements' then create a new FROM element.,False,False,False
// Fall tru,False,False,False
// Formula for a is described in the overall class description.,False,False,False
"// decimal form, like (but not *just* like!) 'f'",False,False,False
//load should work several times in a row,False,False,False
// Fill 53 of value (byte) -19 // Fill 2 of value (byte) 33,False,False,False
// Available specification version must be >= required,False,False,False
// not reached,False,False,False
// Ignore.,False,False,False
// not found. start from // beginning,False,False,False
// store every open frame in our temporary list,False,False,False
// $NON-NLS-1$,False,False,False
// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$,False,False,False
// form integral number of 6-bit groups,False,False,False
"// Get all the request properties, which are the headers set on the connection",False,False,False
// i18n[sqlbookmark.desc=Description:],False,False,False
//{{{ updateWrapSettings() method,False,False,False
"// if at least one property listed here is true, // load the plugin",False,False,False
// create a form builder,False,False,False
// There used to be a frame.pack() here but it resized the frame // to be very wide if text output was used.,False,True,False
// $NON-NLS-1$,False,False,False
// Force the configuration to load,False,False,False
//}}},False,False,False
/*++*/,False,False,False
// replace some arguments by another field names (constants),False,False,False
/*      * @see org.tigris.gef.presentation.Fig#getClosestPoint(java.awt.Point)      */,False,False,False
// $NON-NLS-1$,False,False,False
// Store the key,False,False,False
// exit immediately,False,True,False
//missing 2 private use add manually,False,True,False
// url decode,False,False,False
/* This sets the lineWidth of all in the group: */,False,False,False
// $NON-NLS-1$,False,False,False
// message contains list of attachments,False,False,False
"/*       public RegularExpression createRegex(String regex, int options) throws ParseException {           Token tok = this.parse(regex, options);           return new RegularExpression(regex, tok, this.parennumber, this.hasBackReferences, options);       }       */",False,True,False
"// Iterate through the alias,JoinSequence pairs and generate SQL token nodes.",False,False,False
// Wake up the others!,False,False,False
/*    * Javadoc copied from interface.    */,False,False,False
"// Don't include controlled children here, they'll show up under their container. //",False,False,False
// allow fixed thickness,False,False,False
// perform split if there is more than 1 fragment,False,False,False
// skip if user didn't enable this option,False,False,False
// it is a removed file,False,False,False
/* end class StylePanelFigPackage */,False,False,False
//{{{ directoryLoaded() method,False,False,False
//$NON-NLS-1$,False,False,False
/*      * @param response @return      */,False,False,False
////////////////////////////////////////////////////////////////////////// // test timeline translations //////////////////////////////////////////////////////////////////////////,False,False,False
// required // required,False,False,False
// hide splash screen,False,False,False
// try a few checks to ensure that the clone is independent of the // original,False,False,False
"// If the Add menu already exists, remove it.",False,True,False
// Ignore if the directory does not exist. // This error will throw when running from the ant setup.,False,True,False
// t1 depends on t2,False,False,False
//{{{ createWindowTableScroller() method,False,False,False
// $NON-NLS-1$,False,False,False
//{{{ BrowserColorsModel constructor,False,False,False
//}}},False,False,False
// Initialize simple dependencies,False,False,False
//}}},False,False,False
//}}},False,False,False
//}}},False,False,False
// Ignore.,False,False,False
// Read the first token.,False,False,False
// toolTipGenerator,False,False,False
// ALTER VIEW oldTableName RENAME TO newTableName; // RENAME oldTableName TO newTableName;,False,True,False
//{{{ getBottomDockingArea() method,False,False,False
//{{{ getLastModified() method,False,True,False
/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#buildModelList()      */,False,False,False
// line 616,False,False,False
// large icon for toolbar,False,False,False
// tickLabelPaint,False,False,False
"// Modelled after c ruby implementation (java /,% not same as ruby)",False,False,False
//}}},False,False,False
// CheckStyle:ParameterNumberCheck OFF - bc,False,False,False
//The pw. If user name is anonymous this can be anything. But it has to be supplied anyway.,False,True,False
//{{{ addNotify() method,False,True,False
// Calling connect() will add the edge to the GraphModel and // any LayerPersectives on that GraphModel will get a // edgeAdded event and will add an appropriate FigEdge // (determined by the GraphEdgeRenderer).,False,False,False
// TODO: What?,False,False,False
// $NON-NLS-1$,False,False,False
// local constraint,False,False,False
// execute command -> use mock object class as worker which does // nothing,False,True,False
//{{{ getSelectionColor() method,False,False,False
// Even primitives should be represented by a data type with a conventional (i.e. capitalized) name. //,False,False,False
/*      * We use FILE versus IO to match T_FILE in MRI.      */,False,False,False
// offset the start of the boxes if the total width used is smaller // than the category width,False,False,False
//$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$,False,True,False
"// Split constraint body, if user wants us to",False,False,False
//}}},False,False,False
"// Most browsers use ISO-8859-1 as default encoding, even if spec says UTF-8",False,True,False
// done processing args,False,False,False
// Add the binding to the provided hash table: //,False,False,False
// add a subtitle giving the data source,False,False,False
"/*      * If non-null, then any argument list passed to invoke() will be ignored.      */",False,False,False
// i18n[UdfDetailsTab.hint=Display UDF details],False,False,False
//////////////////////////////////////////////////////////////////////////,False,False,False
// Guaranteed to return a non-null array,False,False,False
"//add in any extra files. //this is an error in mono, but we do not warn on it as they may fix that outside //the ant build cycle.",False,False,False
//{{{ Position methods,False,False,False
// backgroundImage,False,False,False
// Disable DELETE and BROWSE if there are no rows in the table to delete.,False,True,False
// name of font,False,False,False
// save action has been cancelled,False,False,False
"// shortcut key // no shortcut here, because F10 conflicts with system accelerator key // putValue(ACCELERATOR_KEY, KeyStroke.getKeyStroke(KeyEvent.VK_F10, // 0));",False,True,False
"// otherwise, there's a receiver, so we pass that in directly for the sclass logic",False,False,False
/* 	 * (non-Javadoc) 	 *  	 * @see org.columba.calendar.ui.calendar.api.ICalendarView#viewToday() 	 */,False,False,False
// ignored,False,False,False
// check independence,False,False,False
//{{{ setValue() method,False,False,False
//MappingFactory,False,False,False
//$NON-NLS-1$,False,False,False
//}}},False,False,False
// rerouting the destination:,False,False,False
//}}},False,False,False
// no matching method found,False,False,False
//{{{ LineContext class,False,False,False
// Span across two columns,False,True,False
// Add child to parent,False,False,False
/*      * @see org.argouml.uml.ui.UMLComboBoxModel#buildModelList()      */,False,False,False
// Save hostname for ResultSaver // $NON_NLS-1$,False,False,False
// description,False,False,False
/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */,False,False,False
// check null argument,False,True,False
