Comment,cwe_mapping
// $NON-NLS-1$,N/a
//{{{ toggleDockableWindow() method,N/a
"// delete last ','",N/a
// Apply most specific signature matching,N/a
//{{{ getFile() method,N/a
//}}},N/a
// incrementCurrent();,N/a
//we ran out of ids to try,N/a
// CheckStyle:VisibilityModifier OFF - bc,N/a
//{{{ Getters and setters,N/a
// Check arguments,N/a
//add some time. We assume no OS has a granularity this bad,N/a
// CheckStyle:VisibilityModifier ON,N/a
//{{{ VFS methods,N/a
// check null argument 1,N/a
/*         eClass.getESuperTypes().addAll(extend);         eClass.getESuperTypes().addAll(unspecified);         eClass.getESuperTypes().addAll(mixin);         eClass.getESuperTypes().addAll(nonClass);         */,N/a
// 1,N/a
//handle panning if we have a start point else unregister,N/a
// means counting from end,N/a
// go to next base segment group,N/a
// test 1...,N/a
// line 1054,N/a
//{{{ setLimit() method,N/a
"// do nothing, it's a non-impl method",N/a
// add Figs to the FigNode in back-to-front order,N/a
"// special shortcut for id properties, skip the join! // this must only occur at the _end_ of a path expression",N/a
// now used as an interpreter event,N/a
/* 	 * DataBase-related functions 	 */,N/a
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getRuleName()      */,N/a
/*      * The special value <code>null</code> is used internally to indicate that      * the default value should be inherited from the next level of settings.      */,N/a
"/*          featureMap.add(eStructuralFeature, cursor++, o);         expectedModCount = featureMap.getModCount();          ++entryCursor;          ++lastCursor;         // lastCursor = -1;         // prepared = 0; */",N/a
//}}},N/a
// first check the number we are plotting...,N/a
// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-2$,N/a
// Remember the system id of our root document so that we can write // out profiles and linked models to a different file if requested,N/a
// Make the connection ready for sending post data,N/a
//}}},N/a
// private static final int ATTR_UNDERLINE = 3; // private static final int ATTR_BLINK = 5; // private static final int ATTR_REVERSE = 7; // private static final int ATTR_HIDDEN = 8;,N/a
// i18n[UpdatePreferencesPanel.autoBorderLabel=Automatic Updates],N/a
// ignore,N/a
"// Can't be done in the general case of federated repositories, // but at least get what we can find for the current resource set",N/a
"// This column actually consists of a row with two sub-columns // The first column contains the labels, and the second // column contains the fields.",N/a
// $NON-NLS-1$,N/a
//}}},N/a
"//setup for ""1e#""-style tick labels or regular // numeric tick labels, depending on flag:",N/a
// Fill 7 of value (byte) -19 // Fill 3 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 6 of value (byte) -19 // Fill 4 of value (byte) 33 // Fill 13 of value (byte) -19 // Fill 5 of value (byte) 33 // Fill 3 of value (byte) -19,N/a
/* last expression should not be void */,N/a
//{{{ dispose() method,N/a
// Nothing specified -> Fail,N/a
// Sampler selection,N/a
// implements UnsharedComponent,N/a
//}}},N/a
//$NON-NLS-1$,N/a
// This swaps the direction of m3:,N/a
//cannot occur,N/a
/*3300..33FF;*/,N/a
"// If-test is false, need to re-initialize indexes",N/a
//{{{ getIdealIndentForLine() method,N/a
"// about to delete last thing in field, so replace with null",N/a
// Extract the icon that is used by the tree control // for the current look and feel,N/a
// just as if Enter was pressed in another // text field,N/a
// i18n[UpdatePreferencesPanel.channel=Channel:],N/a
// i18n[AbstractRefactoringDialog.showButtonLabel=Show SQL],N/a
/*      * @see javax.swing.plaf.metal.MetalTheme#getControlTextFont()      */,N/a
"// opt but no rest, must be at least required and no more than required + opt",N/a
//boolean iri = false;,N/a
//}}},N/a
// prefer re-generation of identity!,N/a
//{{{ getMinimumSize() method,N/a
// set the local folder.,N/a
// i18n[SQLFilterSheet.closeButtonLabel=Close],N/a
// --,N/a
// i18n[oracle.displaysSequenceDetails=Display sequence details],N/a
// Empty.,N/a
//		case SESSION_BEAN_GRANT_AND_REVOKE: //            return FirebirdManagerGrantPreferenceBean.class.getClassLoader();,CWE-295: Improper Certificate Validation
// Register tabs to display in the details panel for table nodes.,N/a
"// save various info about the column for use in user input validation // when editing table contents. // Note that the columnDisplaySize is included two times, where the // first // entry may be adjusted for actual display while the second entry is // the // size expected by the DB. // The isNullable() method returns three values that we convert into // two // by saying that if it is not known whether or not a column allows // nulls, // we will allow the user to enter nulls and any problems will be // caught // when they try to save the data to the DB",N/a
"// duplicate equal to add, so we continue",N/a
"// Check method, path and query sent",N/a
//{{{ processKeyEvent() method,N/a
//OK // TODO ??,N/a
//{{{ ParserRuleSet constructor,N/a
//}}},N/a
/* (non-Javadoc)      * @see net.sourceforge.squirrel_sql.fw.sql.ISQLDatabaseMetaData#supportsSchemasInDataManipulation()      */,N/a
// Ignore.,N/a
// this happens if ant is used with a project // helper that doesn't set the import.,N/a
// just push nil for pragmas,N/a
"// Link does not exist in UML2, a link is represented just as an // association",N/a
/* 			Lots of preconditions checked here... 			Once things are running smoothly we might comment these out 			(That's what assertions are for). 		*/,N/a
// special handling of operations while editing this data type,N/a
// getFoo      => foo // getFoo(int) => foo(int),N/a
"// Since this timer must be started when SQuirreL is launched, wait a couple of minutes for // SQuirreL to get done initializing the UI.",N/a
// We should not have a query string part,N/a
/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */,N/a
// records the existance of an equal sign,N/a
//{{{ subregionOffsetToX() method,N/a
// suppresses compiler warning,N/a
//{{{ Instance variables,N/a
//}}},N/a
/*      * @see TargetListener#targetSet(TargetEvent)      */,N/a
// @see TestRegexFunction for unit tests,N/a
//}}} //}}},N/a
//}}} //}}},N/a
// builder.setDefaultButtonBarGapBorder();,N/a
//}}},N/a
// keepgenerated,N/a
// never called,N/a
// pass command to scheduler,N/a
// Add the type to the list of returned sqlResultTypes.,N/a
// If the type also specifies a classifier... //,N/a
// i18n[mssql.scriptUsers=Script database users and database roles],N/a
// value is a List of Strings,N/a
"// before any callbacks, etc, so subdeletions see that this deletion happened first",N/a
"/*              * The next one defaults to TRUE, to stay compatible with older              * ArgoUML versions that did not have this setting:              */",N/a
// find and add all subdirectories,N/a
/*      * Just returns false.      *      * @see org.argouml.cognitive.Poster#canFixIt(org.argouml.cognitive.ToDoItem)      */,N/a
/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */,N/a
"//      add message ""0.eml"" as inputstream to folder",N/a
// Add menu.,N/a
//}}},N/a
/*      * @see org.argouml.uml.ui.UMLExpressionModel2#getExpression()      */,N/a
// Allow for old format file without mechanism support,N/a
// classic translator does not support collection of ordinal // param metadata,N/a
//{{{ InstallButton class,N/a
// line 636,N/a
/*      * Create a data input text field      *      * @return the panel for entering the data      */,N/a
// Cast input appropriately or throw exception,N/a
// register for status events,N/a
//remove the .class,N/a
// tooltip text,N/a
// do nothing...this is just a hook for subclasses,N/a
"// If there are delegated features, add only those that aren't already in this package to the end of the list. //",N/a
/*                  * Increment the symbol frequencies for the selected table.                  */,N/a
// the constraint _must_ be owned by a namespace,N/a
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write,N/a
// Get previous state in stack. //,N/a
//this.forceCacheRefresh = forceCacheRefresh;,N/a
// NT Includes other types of Credentials,N/a
// test null source,N/a
// create composer model,N/a
// $NON-NLS-1$ // $NON-NLS-1$,N/a
/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#isValidElement(Object)      */,N/a
// wrap read() methods to track output buffer,N/a
// Prepare the Results tabbed pane,N/a
//}}},N/a
//to stop the class from being unloaded,N/a
//The source was one of the referenced state's path which // has got a new name.,N/a
"// a file, not in the root // since the jar may be one without directory // entries, add the parent dir of this file as // well.",N/a
//{{{ peekElement() method,N/a
/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */,N/a
"/*      * @see org.argouml.uml.cognitive.critics.CrUML#predicate2(      *      java.lang.Object, org.argouml.cognitive.Designer)      */",N/a
//{{{ Folding,N/a
"/*                  * Complete the big bucket [ss] by quicksorting                  * any unsorted small buckets [ss, j].  Hopefully                  * previous pointer-scanning phases have already                  * completed many of the small buckets [ss, j], so                  * we don't have to sort them at all.                  */",N/a
// Fill 3 of value (byte) -19,N/a
// we have the whole contents of the CLOB,N/a
// Column,N/a
//inject the data,N/a
// Block and block pass passed in at same time....uh oh,N/a
// try to set selection,N/a
//{{{ sort() method,N/a
//TestCase/implementedGenOperation.override.javajetinc,N/a
// state ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,N/a
// $NON-NLS-1$ // $NON-NLS-1$,N/a
"// A ""location"" attribute for a node within a // Path object.",N/a
// add duplicates as per bug,N/a
"// If we have resolved to an EClass but we have an EAttribute, we can change it to be an EReference. //",N/a
// i18n[HQLPanelController.hqlToSqlSuccess=Generated {0} SQL(s) in {1} milliseconds.],N/a
// expect the worst,N/a
/*      * @see java.lang.Runnable#run()      */,N/a
// OK // $NON-NLS-1$,N/a
//}}},N/a
// mark it as selected,N/a
// i18n[DataSetUpdateableTableModelImpl.error.unknownerror=Unknown error during check on DB.  Update is probably not safe.\nDo you wish to proceed?],N/a
/*  ================      *  Instance Methods      *  ================       */,N/a
/* add the UDTs. */,N/a
// TODO move to new standard location and rewrite test to be less static,N/a
// Or a feature map child? //,N/a
//i18n[DropTableDialog.schemaLabel=Schema:],N/a
//private Type[] sqlResultTypes;,N/a
// args is either constructor arguments or array dimensions,N/a
//$NON-NLS-1$,N/a
"// do nothing. it's naive, but since // the utility is meant to parse access // logs the formatting should be correct",N/a
// Check if Columba is the default mail client,N/a
/* update fold visibility map. */,N/a
// Match against every other operation but this one. //,N/a
// Create classes and their features,N/a
// it doesn't handle special cases,N/a
// find optimum height and map to range,N/a
// line 1103,N/a
// i18n[FactoryProviderController.fileCreated=File {0} has been successfully created.],N/a
// repaint table header,N/a
//{{{ getScreenLineEndOffset() method,N/a
//$NON-NLS-1$,N/a
//EcoreValidator,N/a
/*          * wait for stream threads to die          *           */,N/a
//}}},N/a
"// Attempt to parse authority. If the section is an empty string // this is a valid server based authority, so set the host to this // value.",CWE-287: Improper Authentication
// draw average - SPECIAL AIMS REQUIREMENT,N/a
// Continue with the established base URL.,N/a
////////////////////////////////////////////////////////////////////////// // test inc methods //////////////////////////////////////////////////////////////////////////,N/a
// aload_1 // load bean,N/a
//}}},N/a
//}}},N/a
// If this isn't instanceof org.hibernate.type.CollectionType a NoSuchMethodException will be thrown,N/a
"//Font font = UIManager.getFont(""Label.font"");",N/a
"// field is not nullable or input was not a delete // // we have already handled all legal input, // so just tell user this is being ignored",N/a
// draw path,N/a
"// this will result in a slight speed up, since we // don't need to read the DTD anyway, as AElfred is // non-validating",N/a
// Begin second unit of work,N/a
// composer can either edit in html or plain text mode // listen for configuration changes,N/a
// end class,N/a
/* Implements JMeterGUIComponent.createTestElement() */,N/a
// ITEM_LABELS_VISIBLE,N/a
// end foreach map entry // end else,N/a
"// We do not use getEncoding method of Writer, since that returns // the historical name",N/a
// Is there a supplied proc argument or do we assume a block was // supplied,N/a
"// hide grid, otherwise can't see anything",N/a
// argument checking delegated...,N/a
// Fill 2 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33,N/a
// Gone from UML 2.x //        throw new NotImplementedException();,N/a
// NOI18N,N/a
"/* At this stage during loading, the diagrams are          * not created yet - so we have to store this name for later use. */",N/a
//}}},N/a
"// if there was a problem with converting, then just fall through // and continue as if there was no default given in the DB. // Otherwise, use the converted object",N/a
//{{{ xToOffset() method,N/a
// line 1254,N/a
// If this is 'elements' then create a new FROM element.,N/a
// Fall tru,N/a
// Formula for a is described in the overall class description.,N/a
"// decimal form, like (but not *just* like!) 'f'",N/a
//load should work several times in a row,N/a
// Fill 53 of value (byte) -19 // Fill 2 of value (byte) 33,N/a
// Available specification version must be >= required,N/a
// not reached,N/a
// Ignore.,N/a
// not found. start from // beginning,N/a
// store every open frame in our temporary list,N/a
// $NON-NLS-1$,N/a
// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$,N/a
// form integral number of 6-bit groups,N/a
"// Get all the request properties, which are the headers set on the connection",N/a
// i18n[sqlbookmark.desc=Description:],N/a
//{{{ updateWrapSettings() method,N/a
"// if at least one property listed here is true, // load the plugin",N/a
// create a form builder,N/a
// There used to be a frame.pack() here but it resized the frame // to be very wide if text output was used.,N/a
// $NON-NLS-1$,N/a
// Force the configuration to load,N/a
//}}},N/a
/*++*/,N/a
// replace some arguments by another field names (constants),N/a
/*      * @see org.tigris.gef.presentation.Fig#getClosestPoint(java.awt.Point)      */,N/a
// $NON-NLS-1$,N/a
// Store the key,N/a
// exit immediately,N/a
//missing 2 private use add manually,N/a
// url decode,N/a
/* This sets the lineWidth of all in the group: */,N/a
// $NON-NLS-1$,N/a
// message contains list of attachments,N/a
"/*       public RegularExpression createRegex(String regex, int options) throws ParseException {           Token tok = this.parse(regex, options);           return new RegularExpression(regex, tok, this.parennumber, this.hasBackReferences, options);       }       */",N/a
"// Iterate through the alias,JoinSequence pairs and generate SQL token nodes.",N/a
// Wake up the others!,N/a
/*    * Javadoc copied from interface.    */,N/a
"// Don't include controlled children here, they'll show up under their container. //",N/a
// allow fixed thickness,N/a
// perform split if there is more than 1 fragment,N/a
// skip if user didn't enable this option,N/a
// it is a removed file,N/a
/* end class StylePanelFigPackage */,N/a
//{{{ directoryLoaded() method,N/a
//$NON-NLS-1$,N/a
/*      * @param response @return      */,N/a
////////////////////////////////////////////////////////////////////////// // test timeline translations //////////////////////////////////////////////////////////////////////////,N/a
// required // required,N/a
// hide splash screen,N/a
// try a few checks to ensure that the clone is independent of the // original,N/a
"// If the Add menu already exists, remove it.",N/a
// Ignore if the directory does not exist. // This error will throw when running from the ant setup.,N/a
// t1 depends on t2,N/a
//{{{ createWindowTableScroller() method,N/a
// $NON-NLS-1$,N/a
//{{{ BrowserColorsModel constructor,N/a
//}}},N/a
// Initialize simple dependencies,N/a
//}}},N/a
//}}},N/a
//}}},N/a
// Ignore.,N/a
// Read the first token.,N/a
// toolTipGenerator,N/a
// ALTER VIEW oldTableName RENAME TO newTableName; // RENAME oldTableName TO newTableName;,N/a
//{{{ getBottomDockingArea() method,N/a
//{{{ getLastModified() method,N/a
/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#buildModelList()      */,N/a
// line 616,N/a
// large icon for toolbar,N/a
// tickLabelPaint,N/a
"// Modelled after c ruby implementation (java /,% not same as ruby)",N/a
//}}},N/a
// CheckStyle:ParameterNumberCheck OFF - bc,N/a
//The pw. If user name is anonymous this can be anything. But it has to be supplied anyway.,N/a
//{{{ addNotify() method,N/a
// Calling connect() will add the edge to the GraphModel and // any LayerPersectives on that GraphModel will get a // edgeAdded event and will add an appropriate FigEdge // (determined by the GraphEdgeRenderer).,N/a
// TODO: What?,N/a
// $NON-NLS-1$,N/a
// local constraint,N/a
// execute command -> use mock object class as worker which does // nothing,N/a
//{{{ getSelectionColor() method,N/a
// Even primitives should be represented by a data type with a conventional (i.e. capitalized) name. //,N/a
/*      * We use FILE versus IO to match T_FILE in MRI.      */,N/a
// offset the start of the boxes if the total width used is smaller // than the category width,N/a
//$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$,N/a
"// Split constraint body, if user wants us to",N/a
//}}},N/a
"// Most browsers use ISO-8859-1 as default encoding, even if spec says UTF-8",N/a
// done processing args,N/a
// Add the binding to the provided hash table: //,N/a
// add a subtitle giving the data source,N/a
"/*      * If non-null, then any argument list passed to invoke() will be ignored.      */",N/a
// i18n[UdfDetailsTab.hint=Display UDF details],N/a
//////////////////////////////////////////////////////////////////////////,N/a
// Guaranteed to return a non-null array,N/a
"//add in any extra files. //this is an error in mono, but we do not warn on it as they may fix that outside //the ant build cycle.",N/a
//{{{ Position methods,N/a
// backgroundImage,N/a
// Disable DELETE and BROWSE if there are no rows in the table to delete.,N/a
// name of font,N/a
// save action has been cancelled,N/a
"// shortcut key // no shortcut here, because F10 conflicts with system accelerator key // putValue(ACCELERATOR_KEY, KeyStroke.getKeyStroke(KeyEvent.VK_F10, // 0));",N/a
"// otherwise, there's a receiver, so we pass that in directly for the sclass logic",N/a
/* 	 * (non-Javadoc) 	 *  	 * @see org.columba.calendar.ui.calendar.api.ICalendarView#viewToday() 	 */,N/a
// ignored,N/a
// check independence,N/a
//{{{ setValue() method,N/a
//MappingFactory,N/a
//$NON-NLS-1$,N/a
//}}},N/a
// rerouting the destination:,N/a
//}}},N/a
// no matching method found,N/a
//{{{ LineContext class,N/a
// Span across two columns,N/a
// Add child to parent,N/a
/*      * @see org.argouml.uml.ui.UMLComboBoxModel#buildModelList()      */,N/a
// Save hostname for ResultSaver // $NON_NLS-1$,N/a
// description,N/a
/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */,N/a
// check null argument,N/a
"/*      * Returns the selection value as a int,      * with the value set to zero if it is out of range.      */",N/a
// N.B. This needs to divert the log for SampleResult,N/a
"// now draw the outlines, if visible...",N/a
// save the original value for re-use by CLOB/BLOB types in conversion,N/a
//}}},N/a
"// for each element in the ""not use"" set, if selected then add to ""use"", // otherwise add to new ""not use"" set",N/a
// if user adds mode buffer-local property,N/a
// create stream from string,N/a
// delegate already handles PK columns,N/a
//_driversListWindow.nowVisible(true);,N/a
//{{{ setIgnoreCase() method,N/a
// Time and Date Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,N/a
// UNDONE,N/a
// CheckStyle:VisibilityModifier ON,N/a
// Needs to be done before any GUI classes are instantiated,N/a
//Ignore manifest entries.  They're bound to cause conflicts between //files that are being merged.  User should supply their own //manifest file when doing the merge.,N/a
// no childs - we have a leaf view (i.e. with contents),N/a
// Ensure that the sample save config is not shared between copied nodes // N.B. clone only seems to be used for client-server tests,N/a
// Fill 7 of value (byte) -19,N/a
//}}},N/a
// First (left) tab,N/a
//{{{ ActionHandler class,N/a
"//++ These names are used in the JMX files, and must not be changed",N/a
//////////////////////////////////////////////////////////////// // critiquing,N/a
// convert the condition string to an int which is easier to handle,N/a
// module is on top of stack,N/a
//{{{ smartEnd() method,N/a
//{{{ getText() method,N/a
"// add search bar to main toolbar, in case its a managed frame mediator",N/a
// return the text from the file since it does // represent a valid value of this data type,N/a
//{{{ EnhancedButton constructor,N/a
// Save parent node for later,N/a
/*0000..007F;*/,N/a
// split is performed,N/a
// -C,N/a
//{{{ runCachedBlock() method,N/a
//$NON-NLS-1$,N/a
//}}},N/a
