Project,Classification,Comment
argouml,IMPLEMENTATION,// TODO: Do we need this? Is this the same as emptyFig.getHeight()?
emf-2.4.1,IMPLEMENTATION,// TODO Binary incompatibility; an old override must override putAll.
argouml,IMPLEMENTATION,"/**      * Removes a listener, eventtype pair from the listener list.      *      * TODO: replace the listener implementation with a EventListenerList      * for better performance      *      * @param event the event to which the listener will not listen any more      * @param listener the listener to be removed      */"
argouml,IMPLEMENTATION,// TODO: Tentative implementation. Do we want something that updates // the list of open projects or just simple open and close events? -tfm
argouml,IMPLEMENTATION,// TODO: This shouldn't require two passes through the list - tfm
argouml,IMPLEMENTATION,/* We need to extend the ExtensionMechanismsFactory so that                   * we can replace the above deprecated call with something like this: */
jruby-1.4.0,TEST,// ?R  | boolean | True if file is readable by the real uid/gid of the caller // FIXME: Need to implement an readable_real_p in FileTest
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ isSelectionRectangular() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// check if starting new column
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// shape sequence
sql12,WITHOUT_CLASSIFICATION,//i18n[ColumnListDialog.modifyTitle=Select Column To Modify]
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// variable is never read, variable is never live"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Constants
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// -----  member variables  -----
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,//set upperLeft point // x is minor
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ mouseDragged() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,//// OUTLINE PAINT ////////////////////////////////////////////////////////
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Bug can generate RTE
sql12,WITHOUT_CLASSIFICATION,// COLUMN_NAME
argouml,WITHOUT_CLASSIFICATION,// classify nodes by base path
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ ok() method
sql12,WITHOUT_CLASSIFICATION,// i18n[DatabaseMetaData.nullableTypeNoNulls=false]
sql12,WITHOUT_CLASSIFICATION,// Sort the rows by the property name.
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ _backup() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// a Long kept updated by advanceTime()
sql12,WITHOUT_CLASSIFICATION,"// user just entered the hour, so append min & sec"
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.persistence.AbstractFilePersister#getDesc()      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// No point checking an empty keystore
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// value is already on stack, save it for later"
emf-2.4.1,WITHOUT_CLASSIFICATION,// Either the IEditingDomainItemProvider or ITreeItemContentProvider item provider interface can give us // the children. //
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ isVisible() method
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//connect to the remote site (may take some time)
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,/* shape visible = */
argouml,WITHOUT_CLASSIFICATION,/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.tigris.gef.presentation.Fig#paint(java.awt.Graphics)      */
argouml,WITHOUT_CLASSIFICATION,// add the listeners to the newOwner
argouml,WITHOUT_CLASSIFICATION,// Quadrant II & III
argouml,WITHOUT_CLASSIFICATION,/*      * @see junit.framework.TestCase#setUp()      */
argouml,WITHOUT_CLASSIFICATION,/*          * @see org.argouml.uml.ui.UMLComboBoxModel#isValidElement(Object)          */
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getToolTipLocation() method
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,/* nothing done between begin/end calls */
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// deal with the resource collections
columba-1.4-src,WITHOUT_CLASSIFICATION,// Try again after shutdown
sql12,WITHOUT_CLASSIFICATION,/* 	 * (non-Javadoc) 	 *  	 * @see net.sourceforge.squirrel_sql.plugins.dbcopy.dialects.HibernateDialect#getMaxPrecision(int) 	 */
sql12,WITHOUT_CLASSIFICATION,// all local and columns for the other tables..
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Make sure all the data is flushed out
jEdit-4.2,WITHOUT_CLASSIFICATION,// Users should not normally see this.
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ clear() method
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// verify t belongs to the curve (range [0, _m-1])"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// two jars same version // two jars same version
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,// calculate size and return it
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 896
columba-1.4-src,WITHOUT_CLASSIFICATION,// Get the current classpath from the sysloader // through reflection
emf-2.4.1,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// check that the series visible flag is observed
columba-1.4-src,WITHOUT_CLASSIFICATION,//overwrite old bundle
jruby-1.4.0,WITHOUT_CLASSIFICATION,"//tmpPosition is required because getPosition()'s side effects. //if the warning is generated, the getPosition() on line 954 (this line + 18) will create //a wrong position if the ""inclusive"" flag is not set."
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier ON
argouml,WITHOUT_CLASSIFICATION,/* Upper / Lower case */
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getRowCount() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,//negatives not allowed and lower range bound is zero //use data range bound instead
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,// i18n[mssql.allViews=All views]
emf-2.4.1,WITHOUT_CLASSIFICATION,/*1D400..1D7FF;*/
columba-1.4-src,WITHOUT_CLASSIFICATION,// update tree model
argouml,WITHOUT_CLASSIFICATION,// Make the edge go between nearest points
argouml,WITHOUT_CLASSIFICATION,"// Required for MouseListener interface, but we only care about clicks"
jruby-1.4.0,WITHOUT_CLASSIFICATION,// eh?!
emf-2.4.1,WITHOUT_CLASSIFICATION,// Compute the holder of the proxy //
sql12,WITHOUT_CLASSIFICATION,/* (non-Javadoc) 		 * @see javax.swing.table.DefaultTableModel#getRowCount() 		 */
jEdit-4.2,WITHOUT_CLASSIFICATION,/* Font */
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,//i18n[ColumnDetailsDialog.tableNameLabel=Table Name: ]
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// copy the source and support files
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ insertFile() method
argouml,WITHOUT_CLASSIFICATION,// DataType // 4.5.3.12 [1]
sql12,WITHOUT_CLASSIFICATION,// we may have more than one statement in sql at this point
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1381
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// drawVolume
jruby-1.4.0,WITHOUT_CLASSIFICATION,// out of byte range // there will be no match for sure
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,/* static methods only - hide constructor */
jEdit-4.2,WITHOUT_CLASSIFICATION,// Primitive to arbitrary object type.  // Allow Primitive.castToType() to handle it as well as cases of  // Primitive.NULL and Primitive.VOID
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// ORPHAN DELETE (used for programmer error detection)
columba-1.4-src,WITHOUT_CLASSIFICATION,"// execute application, enabling blocking"
emf-2.4.1,WITHOUT_CLASSIFICATION,//SimpleAnyTypeImpl
columba-1.4-src,WITHOUT_CLASSIFICATION,/* (non-Javadoc)      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// We know that URL arguments should always be encoded in UTF-8 according to spec
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$ //$NON-NLS-1$
sql12,WITHOUT_CLASSIFICATION,// private DBUtils dbUtils;
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getChildren(java.lang.Object)      */
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//ignore
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getDependencies(java.lang.Object)      */
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// do nothing
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// i.e. is == null
argouml,WITHOUT_CLASSIFICATION,/* end class CrMultiComposite */
sql12,WITHOUT_CLASSIFICATION,// Column
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ unregister() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// collect entity and tool tip information...
argouml,WITHOUT_CLASSIFICATION,/*      * @see java.awt.event.MouseListener#mouseReleased(java.awt.event.MouseEvent)      */
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.uml.diagram.ui.FigNodeModelElement#renderingChanged()      */
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Expand the fold...
columba-1.4-src,WITHOUT_CLASSIFICATION,// create stream from string
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Position match hints
emf-2.4.1,WITHOUT_CLASSIFICATION,"// lower all except the last upper case character if there are // more than one upper case characters in the beginning. // e.g. XSDElementContent -> xsdElementContent // However if the whole string is upper case, the whole string // is turned into lower case. // e.g. CPU -> cpu"
columba-1.4-src,WITHOUT_CLASSIFICATION,// notify all listeners
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,// Oracle's 'TIMESTAMP WITH TIME ZONE' == -101 // Oracle's 'TIMESTAMP WITH LOCAL TIME ZONE' == // -102
argouml,WITHOUT_CLASSIFICATION,/*      * @see java.awt.event.ActionListener#actionPerformed(      *         java.awt.event.ActionEvent)      */
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// to be safe...
columba-1.4-src,WITHOUT_CLASSIFICATION,// set name of column
columba-1.4-src,WITHOUT_CLASSIFICATION,// mail folder tree
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ toggleDockableWindow() method
sql12,WITHOUT_CLASSIFICATION,"// delete last ','"
jEdit-4.2,WITHOUT_CLASSIFICATION,// Apply most specific signature matching
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getFile() method
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// incrementCurrent();
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//we ran out of ids to try
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier OFF - bc
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Getters and setters
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Check arguments
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//add some time. We assume no OS has a granularity this bad
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier ON
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ VFS methods
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// check null argument 1
emf-2.4.1,WITHOUT_CLASSIFICATION,/*         eClass.getESuperTypes().addAll(extend);         eClass.getESuperTypes().addAll(unspecified);         eClass.getESuperTypes().addAll(mixin);         eClass.getESuperTypes().addAll(nonClass);         */
argouml,WITHOUT_CLASSIFICATION,// 1
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,//handle panning if we have a start point else unregister
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// means counting from end
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// go to next base segment group
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// test 1...
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1054
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ setLimit() method
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// do nothing, it's a non-impl method"
argouml,WITHOUT_CLASSIFICATION,// add Figs to the FigNode in back-to-front order
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// special shortcut for id properties, skip the join! // this must only occur at the _end_ of a path expression"
jruby-1.4.0,WITHOUT_CLASSIFICATION,// now used as an interpreter event
sql12,WITHOUT_CLASSIFICATION,/* 	 * DataBase-related functions 	 */
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getRuleName()      */
argouml,WITHOUT_CLASSIFICATION,/*      * The special value <code>null</code> is used internally to indicate that      * the default value should be inherited from the next level of settings.      */
emf-2.4.1,WITHOUT_CLASSIFICATION,"/*          featureMap.add(eStructuralFeature, cursor++, o);         expectedModCount = featureMap.getModCount();          ++entryCursor;          ++lastCursor;         // lastCursor = -1;         // prepared = 0; */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// first check the number we are plotting...
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-2$
argouml,WITHOUT_CLASSIFICATION,// Remember the system id of our root document so that we can write // out profiles and linked models to a different file if requested
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Make the connection ready for sending post data
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// private static final int ATTR_UNDERLINE = 3; // private static final int ATTR_BLINK = 5; // private static final int ATTR_REVERSE = 7; // private static final int ATTR_HIDDEN = 8;
sql12,WITHOUT_CLASSIFICATION,// i18n[UpdatePreferencesPanel.autoBorderLabel=Automatic Updates]
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// ignore
argouml,WITHOUT_CLASSIFICATION,"// Can't be done in the general case of federated repositories, // but at least get what we can find for the current resource set"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// This column actually consists of a row with two sub-columns // The first column contains the labels, and the second // column contains the fields."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,"//setup for ""1e#""-style tick labels or regular // numeric tick labels, depending on flag:"
emf-2.4.1,WITHOUT_CLASSIFICATION,// Fill 7 of value (byte) -19 // Fill 3 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 6 of value (byte) -19 // Fill 4 of value (byte) 33 // Fill 13 of value (byte) -19 // Fill 5 of value (byte) 33 // Fill 3 of value (byte) -19
jruby-1.4.0,WITHOUT_CLASSIFICATION,/* last expression should not be void */
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ dispose() method
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Nothing specified -> Fail
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Sampler selection
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// implements UnsharedComponent
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,// This swaps the direction of m3:
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//cannot occur
emf-2.4.1,WITHOUT_CLASSIFICATION,/*3300..33FF;*/
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// If-test is false, need to re-initialize indexes"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getIdealIndentForLine() method
sql12,WITHOUT_CLASSIFICATION,"// about to delete last thing in field, so replace with null"
argouml,WITHOUT_CLASSIFICATION,// Extract the icon that is used by the tree control // for the current look and feel
jEdit-4.2,WITHOUT_CLASSIFICATION,// just as if Enter was pressed in another // text field
sql12,WITHOUT_CLASSIFICATION,// i18n[UpdatePreferencesPanel.channel=Channel:]
sql12,WITHOUT_CLASSIFICATION,// i18n[AbstractRefactoringDialog.showButtonLabel=Show SQL]
argouml,WITHOUT_CLASSIFICATION,/*      * @see javax.swing.plaf.metal.MetalTheme#getControlTextFont()      */
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// opt but no rest, must be at least required and no more than required + opt"
emf-2.4.1,WITHOUT_CLASSIFICATION,//boolean iri = false;
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// prefer re-generation of identity!
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getMinimumSize() method
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// set the local folder.
sql12,WITHOUT_CLASSIFICATION,// i18n[SQLFilterSheet.closeButtonLabel=Close]
columba-1.4-src,WITHOUT_CLASSIFICATION,// --
sql12,WITHOUT_CLASSIFICATION,// i18n[oracle.displaysSequenceDetails=Display sequence details]
emf-2.4.1,WITHOUT_CLASSIFICATION,// Empty.
sql12,WITHOUT_CLASSIFICATION,//		case SESSION_BEAN_GRANT_AND_REVOKE: //            return FirebirdManagerGrantPreferenceBean.class.getClassLoader();
sql12,WITHOUT_CLASSIFICATION,// Register tabs to display in the details panel for table nodes.
sql12,WITHOUT_CLASSIFICATION,"// save various info about the column for use in user input validation // when editing table contents. // Note that the columnDisplaySize is included two times, where the // first // entry may be adjusted for actual display while the second entry is // the // size expected by the DB. // The isNullable() method returns three values that we convert into // two // by saying that if it is not known whether or not a column allows // nulls, // we will allow the user to enter nulls and any problems will be // caught // when they try to save the data to the DB"
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// duplicate equal to add, so we continue"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Check method, path and query sent"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ processKeyEvent() method
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//OK // TODO ??
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ ParserRuleSet constructor
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,/* (non-Javadoc)      * @see net.sourceforge.squirrel_sql.fw.sql.ISQLDatabaseMetaData#supportsSchemasInDataManipulation()      */
emf-2.4.1,WITHOUT_CLASSIFICATION,// Ignore.
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// this happens if ant is used with a project // helper that doesn't set the import.
jruby-1.4.0,WITHOUT_CLASSIFICATION,// just push nil for pragmas
argouml,WITHOUT_CLASSIFICATION,"// Link does not exist in UML2, a link is represented just as an // association"
jEdit-4.2,WITHOUT_CLASSIFICATION,/* 			Lots of preconditions checked here... 			Once things are running smoothly we might comment these out 			(That's what assertions are for). 		*/
sql12,WITHOUT_CLASSIFICATION,// special handling of operations while editing this data type
jruby-1.4.0,WITHOUT_CLASSIFICATION,// getFoo      => foo // getFoo(int) => foo(int)
sql12,WITHOUT_CLASSIFICATION,"// Since this timer must be started when SQuirreL is launched, wait a couple of minutes for // SQuirreL to get done initializing the UI."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// We should not have a query string part
argouml,WITHOUT_CLASSIFICATION,/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// records the existance of an equal sign
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ subregionOffsetToX() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// suppresses compiler warning
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Instance variables
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,/*      * @see TargetListener#targetSet(TargetEvent)      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// @see TestRegexFunction for unit tests
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}} //}}}
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}} //}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,// builder.setDefaultButtonBarGapBorder();
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// keepgenerated
jEdit-4.2,WITHOUT_CLASSIFICATION,// never called
columba-1.4-src,WITHOUT_CLASSIFICATION,// pass command to scheduler
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// Add the type to the list of returned sqlResultTypes.
emf-2.4.1,WITHOUT_CLASSIFICATION,// If the type also specifies a classifier... //
sql12,WITHOUT_CLASSIFICATION,// i18n[mssql.scriptUsers=Script database users and database roles]
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// value is a List of Strings
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// before any callbacks, etc, so subdeletions see that this deletion happened first"
argouml,WITHOUT_CLASSIFICATION,"/*              * The next one defaults to TRUE, to stay compatible with older              * ArgoUML versions that did not have this setting:              */"
argouml,WITHOUT_CLASSIFICATION,// find and add all subdirectories
argouml,WITHOUT_CLASSIFICATION,/*      * Just returns false.      *      * @see org.argouml.cognitive.Poster#canFixIt(org.argouml.cognitive.ToDoItem)      */
columba-1.4-src,WITHOUT_CLASSIFICATION,/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */
columba-1.4-src,WITHOUT_CLASSIFICATION,"//      add message ""0.eml"" as inputstream to folder"
sql12,WITHOUT_CLASSIFICATION,// Add menu.
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.uml.ui.UMLExpressionModel2#getExpression()      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Allow for old format file without mechanism support
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// classic translator does not support collection of ordinal // param metadata
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ InstallButton class
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 636
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,/*      * Create a data input text field      *      * @return the panel for entering the data      */
jEdit-4.2,WITHOUT_CLASSIFICATION,// Cast input appropriately or throw exception
columba-1.4-src,WITHOUT_CLASSIFICATION,// register for status events
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//remove the .class
columba-1.4-src,WITHOUT_CLASSIFICATION,// tooltip text
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// do nothing...this is just a hook for subclasses
emf-2.4.1,WITHOUT_CLASSIFICATION,"// If there are delegated features, add only those that aren't already in this package to the end of the list. //"
jEdit-4.2,WITHOUT_CLASSIFICATION,/*                  * Increment the symbol frequencies for the selected table.                  */
argouml,WITHOUT_CLASSIFICATION,// the constraint _must_ be owned by a namespace
jruby-1.4.0,WITHOUT_CLASSIFICATION,// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
emf-2.4.1,WITHOUT_CLASSIFICATION,// Get previous state in stack. //
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//this.forceCacheRefresh = forceCacheRefresh;
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// NT Includes other types of Credentials
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// test null source
columba-1.4-src,WITHOUT_CLASSIFICATION,// create composer model
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$ // $NON-NLS-1$
